gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
ESPORTSTMNT03/1300603,WLGaming Esports,2020-01-21 16:19:15,0,22461.0,26014.0,408.0,-2565.0,-2274.0,-18.0,3.0,3.0,10.0
ESPORTSTMNT03/1300603,Pyrsos Esports,2020-01-21 16:19:15,1,25026.0,28288.0,426.0,2565.0,2274.0,18.0,10.0,17.0,3.0
ESPORTSTMNT01/1280441,ad hoc gaming,2020-01-21 16:29:54,0,22941.0,26881.0,483.0,939.0,-241.0,22.0,2.0,0.0,2.0
ESPORTSTMNT01/1280441,FC Schalke 04 Evolution,2020-01-21 16:29:54,1,22002.0,27122.0,461.0,-939.0,241.0,-22.0,2.0,5.0,2.0
ESPORTSTMNT03/1300617,Greek Regenesis eSports,2020-01-21 17:40:31,1,28651.0,32426.0,520.0,7148.0,8601.0,124.0,12.0,15.0,2.0
ESPORTSTMNT03/1300617,Team Refuse,2020-01-21 17:40:31,0,21503.0,23825.0,396.0,-7148.0,-8601.0,-124.0,2.0,4.0,12.0
ESPORTSTMNT01/1280479,Unicorns Of Love Sexy Edition,2020-01-21 17:51:45,0,23702.0,28597.0,471.0,459.0,1324.0,-3.0,4.0,8.0,4.0
ESPORTSTMNT01/1280479,OP innogy eSport,2020-01-21 17:51:45,1,23243.0,27273.0,474.0,-459.0,-1324.0,3.0,4.0,9.0,4.0
ESPORTSTMNT01/1270496,PSV Esports,2020-01-21 18:00:09,1,24060.0,28743.0,480.0,311.0,-1142.0,-3.0,3.0,5.0,5.0
ESPORTSTMNT01/1270496,Team THRLL,2020-01-21 18:00:09,0,23749.0,29885.0,483.0,-311.0,1142.0,3.0,5.0,14.0,3.0
ESPORTSTMNT03/1300627,Intrepid Fox Gaming,2020-01-21 18:39:25,1,28323.0,31485.0,518.0,7263.0,4684.0,127.0,11.0,11.0,4.0
ESPORTSTMNT03/1300627,Laughing Coffins,2020-01-21 18:39:25,0,21060.0,26801.0,391.0,-7263.0,-4684.0,-127.0,4.0,5.0,11.0
ESPORTSTMNT01/1270513,Misfits Premier,2020-01-21 18:55:54,1,23529.0,29292.0,517.0,618.0,591.0,18.0,3.0,3.0,3.0
ESPORTSTMNT01/1270513,IZI Dream,2020-01-21 18:55:54,0,22911.0,28701.0,499.0,-618.0,-591.0,-18.0,3.0,1.0,3.0
ESPORTSTMNT01/1280501,SK Gaming Prime,2020-01-21 18:56:57,1,21983.0,26941.0,480.0,-1553.0,-894.0,-18.0,1.0,2.0,2.0
ESPORTSTMNT01/1280501,GamerLegion,2020-01-21 18:56:57,0,23536.0,27835.0,498.0,1553.0,894.0,18.0,2.0,5.0,1.0
ESPORTSTMNT01/1280509,Dynasty,2020-01-21 19:04:23,0,21472.0,26861.0,429.0,-2572.0,-1972.0,-38.0,2.0,2.0,6.0
ESPORTSTMNT01/1280509,mCon esports Rotterdam,2020-01-21 19:04:23,1,24044.0,28833.0,467.0,2572.0,1972.0,38.0,6.0,17.0,2.0
ESPORTSTMNT03/1300644,LUL Esports,2020-01-21 19:43:03,1,23541.0,27452.0,442.0,2329.0,221.0,-33.0,6.0,16.0,0.0
ESPORTSTMNT03/1300644,Gamespace Mediterranean College Esports,2020-01-21 19:43:03,0,21212.0,27231.0,475.0,-2329.0,-221.0,33.0,0.0,0.0,6.0
ESPORTSTMNT01/1280536,Berlin International Gaming,2020-01-21 20:09:55,0,25966.0,28619.0,452.0,4322.0,2239.0,9.0,8.0,19.0,3.0
ESPORTSTMNT01/1280536,mYinsanity,2020-01-21 20:09:55,1,21644.0,26380.0,443.0,-4322.0,-2239.0,-9.0,3.0,5.0,8.0
ESPORTSTMNT01/1270542,Team THRLL,2020-01-21 20:13:38,0,23077.0,25956.0,423.0,-3121.0,-4163.0,-101.0,4.0,4.0,5.0
ESPORTSTMNT01/1270542,Defusekids,2020-01-21 20:13:38,1,26198.0,30119.0,524.0,3121.0,4163.0,101.0,5.0,6.0,4.0
ESPORTSTMNT01/1270545,GameWard,2020-01-21 20:16:43,1,22029.0,27780.0,522.0,-2556.0,-2524.0,-25.0,0.0,0.0,2.0
ESPORTSTMNT01/1270545,Team MCES,2020-01-21 20:16:43,0,24585.0,30304.0,547.0,2556.0,2524.0,25.0,2.0,0.0,0.0
ESPORTSTMNT01/1270566,Solary,2020-01-21 21:16:27,0,21040.0,25426.0,419.0,-4765.0,-3903.0,-91.0,2.0,5.0,5.0
ESPORTSTMNT01/1270566,GamersOrigin,2020-01-21 21:16:27,1,25805.0,29329.0,510.0,4765.0,3903.0,91.0,5.0,11.0,2.0
ESPORTSTMNT01/1280575,mousesports,2020-01-21 21:20:37,0,23502.0,29004.0,536.0,-344.0,974.0,15.0,1.0,2.0,4.0
ESPORTSTMNT01/1280575,EURONICS Gaming,2020-01-21 21:20:37,1,23846.0,28030.0,521.0,344.0,-974.0,-15.0,4.0,4.0,1.0
ESPORTSTMNT03/1300673,Furious Gaming Chile,2020-01-21 21:21:27,1,24129.0,29264.0,489.0,1103.0,1270.0,36.0,4.0,6.0,5.0
ESPORTSTMNT03/1300673,FroztFire Team,2020-01-21 21:21:27,0,23026.0,27994.0,453.0,-1103.0,-1270.0,-36.0,5.0,10.0,4.0
ESPORTSTMNT01/1270591,Vitality.Bee,2020-01-21 22:16:13,1,23697.0,27211.0,482.0,-340.0,-2073.0,-13.0,4.0,9.0,5.0
ESPORTSTMNT01/1270591,LDLC OL,2020-01-21 22:16:13,0,24037.0,29284.0,495.0,340.0,2073.0,13.0,5.0,7.0,4.0
ESPORTSTMNT03/1300688,Rebirth eSports,2020-01-21 22:17:58,1,24847.0,28161.0,502.0,2176.0,2322.0,7.0,1.0,3.0,0.0
